XAU,timeframe,time,open,high,low,close,Volume,Volume MA
XAU,1H,1591848000,1731.702,1732.281,1729.818,1729.818,1468,5572.95
XAU,1H,1591851600,1729.818,1730.326,1727.1,1728.186,2330,5626.75
XAU,1H,1591855200,1728.186,1734.006,1727.222,1733.768,2407,5644.7
XAU,1H,1591858800,1733.768,1737.284,1733.16,1735.826,2308,5684.5
XAU,1H,1591862400,1735.826,1736.608,1730.692,1733.804,1991,5635.95
XAU,1H,1591866000,1733.804,1734.683,1731.378,1733.692,918,5507.6
XAU,1H,1591869600,1733.692,1734.178,1730.656,1732.461,820,5101.2
XAU,1H,1591873200,1732.461,1733.19,1721.294,1727.762,7633,4608.8
XAU,1H,1591876800,1727.762,1734.238,1723.74,1732.296,10720,4782.5
XAU,1H,1591880400,1732.296,1739.41,1730.64,1738.179,5817,4779.35
XAU,1H,1591884000,1738.179,1744.552,1737.541,1743.652,18248,5441.25
XAU,1H,1591887600,1743.652,1744.918,1731.407,1735.69,10570,4827.75
XAU,1H,1591891200,1735.69,1737.758,1726.196,1727.4,14036,4633.8
XAU,1H,1591894800,1727.4,1735.04,1726.11,1732.04,12055,5098.85
XAU,1H,1591898400,1732.04,1732.497,1728.124,1729.002,4051,5195.55
XAU,1H,1591902000,1729.002,1730.616,1723.134,1727.95,5581,5374.9
XAU,1H,1591905600,1727.95,1729.674,1726.398,1727.216,2152,5375.85
XAU,1H,1591912800,1727.216,1730.846,1727.216,1729.52,1779,5341.2
XAU,1H,1591916400,1729.52,1730.488,1726.73,1726.924,866,5344.2
XAU,1H,1591920000,1726.924,1729.094,1722.501,1727.59,2337,5404.35
XAU,1H,1591923600,1727.59,1729.527,1723.73,1725.524,4758,5568.85
XAU,1H,1591927200,1725.524,1728.085,1723.548,1725.583,3215,5613.1
XAU,1H,1591930800,1725.583,1726.74,1724.262,1726.082,1269,5556.2
XAU,1H,1591934400,1726.082,1728.188,1726.082,1728.184,1176,5499.6
XAU,1H,1591938000,1728.184,1729.498,1726.478,1727.781,1308,5465.45
XAU,1H,1591941600,1727.781,1732.414,1727.606,1731.867,3264,5582.75
XAU,1H,1591945200,1731.867,1733.899,1731.19,1733.34,2752,5679.35
XAU,1H,1591948800,1733.34,1735.906,1732.55,1734.773,1842,5389.8
XAU,1H,1591952400,1734.773,1736.264,1731.42,1731.494,1816,4944.6
XAU,1H,1591956000,1731.494,1737.69,1731.32,1737.146,3351,4821.3
XAU,1H,1591959600,1737.146,1737.571,1734.548,1736.67,1600,3988.9
XAU,1H,1591963200,1736.67,1740.413,1732.988,1737.595,12247,4072.75
XAU,1H,1591966800,1737.595,1743.34,1736.266,1741.735,16307,4186.3
XAU,1H,1591970400,1741.735,1742.352,1735.146,1738.662,21997,4683.4
XAU,1H,1591974000,1738.662,1739.27,1730.762,1733.724,12086,5085.15
XAU,1H,1591977600,1733.724,1735.026,1731.071,1733.946,8246,5218.4
XAU,1H,1591981200,1733.946,1734.044,1729.586,1732.74,14231,5822.35
XAU,1H,1591984800,1732.74,1733.378,1729.033,1732.335,10796,6273.2
